episodes,actors,value,movie,tv,people
1,1,1,,,Eli Roth
1,2,3,Time Bandits (1981),Scrubs (2001),Zach Braff
1,3,0,,,
1,4,0,,,
1,5,1,,,Clive Owen
1,6,1,,Bones (2001),
1,7,0,,,
2,1,3,Dangerous Minds (1995),"The California Raisin Show (1989), MythBusters (2003)",
2,2,14,"Guarding Trees (1994), The Rock (1996), Con Air (1997), Face/Off (1997), Snake Eyes (1998), Windtalkers (2002), The Wicker Man (2006), Kung Fu Panda (2008)",Who's the Boss (1984),"Nicholas Cage, Robert Downey Jr, Jim Belushi, Jean-Claude Van Damme, Johnny Depp"
2,3,0,,,
2,4,0,,,
2,5,2,,,"Holly Hunter, Don Cheadle"
2,6,1,Hellraiser (1987),,
2,7,0,,,
3,1,1,A Few Good Men (1992),,
3,2,2,,"Hannibal (2013), The Bridge (2013)",
3,3,0,,,
3,4,0,,,
3,5,1,Jaws (1975),,
3,6,0,,,
3,7,0,,,
4,1,2,The Grey (2011),,Liam Neeson
4,2,1,Catfish (2010),,
4,3,0,,,
4,4,0,,,
4,5,2,"Police Academy: City Under Siege (1989), Police Academy: Mission to Moscow (1994)",,
4,6,0,,,
4,7,1,,,John Denver
5,1,0,,,
5,2,2,"The Jewel of the Nile (1985), The Usual Suspects (1995)",,
5,3,0,,,
5,4,1,,,Danny Thomas
5,5,1,,Star Trek: The Next Generation (1987),
5,6,1,Star Wars: Episode VI (1983),,
5,7,0,,,
6,1,0,,,
6,2,2,Star Wars: Episode VI (1983),Rick and Morty ( 2013),
6,3,0,,,
6,4,1,Leon the Professional (1994),,
6,5,1,,M*A*S*H (1972),
6,6,0,,,
6,7,0,,,
7,1,1,E.T. the Extra-Terrestrial (1982),,
7,2,0,,,
7,3,1,,,Banksy
7,4,0,,,
7,5,0,,,
7,6,0,,,
7,7,0,,,
8,1,0,,,
8,2,0,,,
8,3,1,,,Ernesto Che Guevara
8,4,1,,,Adolf Hitler
8,5,0,,,
8,6,0,,,
8,7,0,,,
9,1,1,The Odd Couple (1968),,
9,2,0,,,
9,3,0,,,
9,4,0,,,
9,5,0,,,
9,6,0,,,
9,7,0,,,
10,1,0,,,
10,2,0,,,
10,3,0,,,
10,4,1,,Arrested Development (2003),
10,5,0,,,
10,6,0,,,
10,7,0,,,
11,1,2,The Wizard of Oz (1939),G.I. Joe (1985),
11,2,0,,,
11,3,0,,,
11,4,0,,,
11,5,0,,,
11,6,0,,,
11,7,0,,,
12,1,0,,,
12,2,0,,,
12,3,0,,,
12,4,0,,,
12,5,0,,,
12,6,0,,,
12,7,0,,,
13,1,2,,,"Elliot Gould, Donald Sutherland"
13,2,4,"The Goonies (1985), Antz (1998)",,"Dennis Hopper, Woody Allen"
13,3,0,,,
13,4,0,,,
13,5,0,,,
13,6,0,,,
13,7,0,,,""""""
