episodes,actors,value,movie,tv,people
1,1,0,,,
1,2,5,"Earth vs the Flying Saucers (1956), Ghostbusters (1984), Back to the Future Part 2 (1989)",,"Jennifer Aniston, George Clooney"
1,3,0,,,
1,4,0,,,
1,5,0,,,
1,6,0,,,
1,7,4,"Toy Story 3 (2010), Shaft (1971), Dolemite (1975)",$#*! My Dad Says (2010),
2,1,3,"Tango & Cash (1989), Butch Cassidy and The Sundance Kid (1969)",Yo Gabba Gabba (2007),
2,2,3,Bad Influence (1980),,"James Spader, Rob Lowe"
2,3,1,,,Jon Stewart
2,4,0,,,
2,5,1,Harold & Kumar Go to White Castle (2004),,
2,6,0,,,
2,7,0,,,
3,1,0,,,
3,2,1,The Abyss (1989),,
3,3,0,,,
3,4,0,,,
3,5,0,,,
3,6,0,,,
3,7,1,"Shin Seiki Evangelion Gekijo-ban: Air/Magokoro wo, kimi ni (1997)",,
4,1,0,,,
4,2,1,Apollo 13 (1995),,
4,3,1,,,Wesley Snipes
4,4,0,,,
4,5,1,Armageddon (1998),,
4,6,0,,,
4,7,2,"The Thing (1982), Armageddon (1998)",,
5,1,0,,,
5,2,9,"I Am Legend (2007), The Matrix (1999), RoboCop (1987), Superman Returns (2006), Snakes on a plane (2006), ET (1982), Back to the Future (1985), Edward Scissorhands (1990)",,Ben Lyons
5,3,0,,,
5,4,0,,,
5,5,0,,,
5,6,1,,,Charlie Kaufman
5,7,0,,,
6,1,1,,Arrested Development (2003),
6,2,4,"Night of the Living Dead (1968), Alien (1979), Aliens (1986), Star Wars Episode V (1980)",,
6,3,0,,,
6,4,2,Shaun of the Dead (2004),"The Muppet Show (1976), ",
6,5,4,"Alien (1979), Aliens (1986), Marmaduke (2010), Star Wars Episode V (1980)",,
6,6,1,The Wizard of Oz (1939),,
6,7,2,28 Days Later (2002),Star Trek (1966),
7,1,0,,,
7,2,4,RoboCop (1987),"Cougar Town (2009), Today (1952)",Tom Cruise
7,3,0,,,
7,4,0,,,
7,5,1,,Today (1952),
7,6,0,,,
7,7,1,Blade Runner (1987),,
8,1,0,,,
8,2,0,,,
8,3,2,,Beetlejuice (1988),Mike Tyson
8,4,1,,,Harvey Keitel
8,5,2,Paranormal Activity (2007),,Henry David Thoreau
8,6,0,,,
8,7,2,,,"Benny Hill,Stephen Fry"
9,1,2,The Bloody Olive (1997),Cougar Town (2009),
9,2,0,,,
9,3,1,Eyes Wide Shut (1999),,
9,4,1, Get Your Gun (1950),,
9,5,1,,The Mentalist (2008),
9,6,0,,,
9,7,0,,,
10,1,1,Dead Poets Society (1989),,
10,2,3,The Last Starfighter (1984),"Farscape (1999), Stargate SG-1 (1997)",
10,3,0,,,
10,4,2,,,"Anne Hathaway, Mark Ruffalo"
10,5,3,,,"Tyra Banks, Marisa Tomei, Claude Renoir"
10,6,0,,,
10,7,0,,,
11,1,1,,,Tim Burton
11,2,4,The Polar express (2004),"Rudolph the Red-Nosed Reindeer (1964), Lost (2004),",Bjork
11,3,0,,,
11,4,0,,,
11,5,2,,Rentaghost (1976),Michael Jackson's Dad
11,6,0,,,
11,7,1,The Polar express (2004),,
12,1,2,,,"Jamie Lee Curtis, Jean-Claude Van Damme"
12,2,2,,,"Johnny Depp, Anderson Cooper"
12,3,0,,,
12,4,0,,,
12,5,4,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005), Emanuelle: The First Contact (1994)",,"Vince Vaughn, Michael Chiklis"
12,6,0,,,
12,7,2,,Transformers (1984),George Foreman
13,1,0,,,
13,2,1,,"Scooby Doo, Where are you! (1969)",
13,3,0,,,
13,4,0,,,
13,5,0,,,
13,6,0,,,
13,7,2,,"Pokemon (1998), Saturday Night Live (1975)",
14,1,0,,,
14,2,1,,,Stan Lee
14,3,2,,,"Julian Assange, Thomas Paine"
14,4,0,,,
14,5,0,,,
14,6,0,,,
14,7,1,,,Al Jolsen
15,1,1,,,The Barenaked Ladies
15,2,7,"Saw (2004), Saw II (2005), Saw III (2006), Saw IV (2007), Saw V (2008), Saw VI (2009), Saw 3D (2010)",,
15,3,0,,,
15,4,0,,,
15,5,0,,,
15,6,0,,,
15,7,0,,,
16,1,5,"Ferris Bueller's Day Off (1986), The Parent Trap (1961), F/X (1986), F/X2: The Deadly Art of Illusion (1991)",Three's Company (1977),
16,2,1,,Firefly (2002),
16,3,4,Green Zone (2010),"Rebop (1976), Roots (1977)",Dylan Thomas
16,4,0,,,
16,5,2,,Firefly (2002),Gregory Hines
16,6,1,,,John Grisham
16,7,3,"Critters 3 (1991), Surrogates (2009), Black Swan (2010)",,
17,1,1,,,George Michael
17,2,3,"*batteries not included (1987), Back to the Future Part II (1989), The Last Airbender (2010)",,
17,3,0,,,
17,4,2,Election (1999),The Real World (1992),
17,5,0,,,
17,6,0,,,
17,7,2,,,"Tom Sizemore, The Barenaked Ladies"
18,1,1,Jurassic Park (1993),,
18,2,3,"Stand by Me (1986), Vibes (1988), Catfish (2010)",,
18,3,2,Star Trek V: The Final Frontier (1989),,Britney Spears
18,4,0,,,
18,5,1,Catfish (2010),,
18,6,1,It's Complicated (2009),,
18,7,1,,,Joe Kennedy
19,1,3,Pulp FIction (1994),"Cheers (1982), Mr Rogers' Neighborhood (1968)",
19,2,11,"Short Circuit (1986), 2001: A Space Odyssey (1968), My Dinner with Andre (1981), Raiders of the Lost Ark (1981)","Cougar Town (2009), Star Trek (1966), Mork & Mindy (1978), Knight Rider (1982), Doctor Who (2005)","Quentin Tarantino, Courteney Cox"
19,3,1,Reservoir Dogs (1992),,
19,4,0,,,
19,5,0,,,
19,6,0,,,
19,7,0,,,
20,1,0,,,
20,2,1,,Who's the Boss? (1984),
20,3,0,,,
20,4,0,,,
20,5,1,Fiddler on the Roof (1971),,
20,6,0,,,
20,7,0,,,
21,1,0,,,
21,2,3,"Jaws (1975), Alien (1979).",The Cape (2011),
21,3,1,Gojira (1954),,
21,4,0,,,
21,5,1,,,Traveling Wilburys
21,6,0,,,
21,7,0,,,
22,1,1,Boxcar Bertha (1972),,
22,2,1,Indecent Proposal (1993),,
22,3,0,,,
22,4,0,,,
22,5,1,Indecent Proposal (1993),,
22,6,0,,,
22,7,2,,,"Betty Grable, Jackie Coogan"
23,1,1,Urban Cowboy (1980),,
